Name,观影人数,Priority,种类,Seriousness,状态,Brief Desc,Out,完成日期,评级,短评
【连载中】电锯人part 2,和他人,❗️❗️,漫画,Fun,In-Progress,https://www.colamanga.com/manga-nh31287/,Yes,,,S2-70
【连载中】Dan Da Dan超自然武装噹哒噹,和他人,❗️❗️,漫画,Fun,In-Progress,https://www.kanbook.net/comic/31161,Yes,,,
【连载中】Blue Giant Momentum,自己,❗️❗️❗️,漫画,Fun,In-Progress,"https://bigcomics.jp/series/d65521c8caf23
https://m.manhuagui.com/comic/49200/",Yes,,,5p
Lazarus,和他人,❗️❗️❗️,动画,Serious,Unstarted,2024年,No,,,
吊带袜天使NEW,和他人,❗️❗️❗️,动画,Fun,Unstarted,,No,,,
爱死机s4,和他人,❗️❗️❗️,电视剧,Mild,Unstarted,,No,,,
攻壳机动队-科学猴-og,,❗️❗️❗️,动画,Mild,Unstarted,2026,No,,,
Arcane Season2,,❗️❗️❗️,动画,Mild,Unstarted,2024年11月,No,,,
A Real Pain,,❗️❗️❗️,电影,Fun,Unstarted,"October 18, 2024 Jesse Eisenberg, Kieran Culkin",No,,,
Severance Season 2,,❗️❗️❗️,电视剧,Mild,Unstarted,Early 2025,No,,,
Dan Da Dan超自然武装噹哒噹,,❗️❗️,动画,Fun,Unstarted,2024年10月,No,,,
四叠半神话大系,,❗️❗️❗️,动画,Mild,Unstarted,,Yes,,,
https://zh.wikipedia.org/wiki/%E5%88%A5%E5%B0%8D%E6%98%A0%E5%83%8F%E7%A0%94%E5%87%BA%E6%89%8B%EF%BC%81,,❗️❗️❗️,电影,Fun,Unstarted,,Yes,,,
混凝土革命 超人幻想,,❗️❗️,动画,Fun,Unstarted,,Yes,,,
NHK15个动画短片,,❗️❗️,动画,Fun,Unstarted,,Yes,,,
THE BEAST,,❗️❗️,电影,Serious,Unstarted,,Yes,,,
INSIDE,,❗️❗️,电影,Serious,Unstarted,,Yes,,,
DECISION TO LEAVE,,❗️❗️,电影,Serious,Unstarted,,Yes,,,
The Nest,,❗️❗️,电影,Serious,Unstarted,,Yes,,,
https://zh.wikipedia.org/zh-hans/%E5%8D%97%E5%B1%B1%E7%9A%84%E9%83%A8%E9%95%B7%E5%80%91,,❗️❗️,电影,Serious,Unstarted,,Yes,,,
意外的幸运签,,❗️❗️,电影,Mild,Unstarted,,Yes,,,
Billionaire Boys Club,,❗️❗️,电影,Fun,Unstarted,,Yes,,,
听到涛声,,❗️❗️,电影,Fun,Unstarted,,Yes,,,
回转企鹅罐 剧场版,,❗️❗️,电影,Fun,Unstarted,,Yes,,,
高达seed freedom,,❗️❗️,电影,Fun,Unstarted,2024年1月26日,Yes,,,
地球防卫少年,,❗️❗️,漫画,Mild,Unstarted,,Yes,,,
月光旅程,,❗️❗️,漫画,Mild,Unstarted,,Yes,,,
灵异E接触,,❗️❗️,漫画,Mild,Unstarted,https://www.manhuagui.com/comic/6637/,Yes,,,
探戈,,❗️,动画,Mild,Unstarted,,Yes,,,
FLAG,,❗️,动画,Mild,Unstarted,,Yes,,,
危险调查员,,❗️,动画,Mild,Unstarted,浦泽直树,Yes,,,
THE BIG-O,,❗️,动画,Mild,Unstarted,,Yes,,,
黑之契约者,,❗️,动画,Mild,Unstarted,感觉是慢热型超能剧,Yes,,,
黑客帝国动画版,,❗️,动画,Mild,Unstarted,,Yes,,,
蓝雨伞,,❗️,动画,Fun,Unstarted,,Yes,,,
永久家族,,❗️,动画,Fun,Unstarted,,Yes,,,
超自然9人组,,❗️,动画,Fun,Unstarted,,Yes,,,
https://zh.wikipedia.org/zh-hans/FREEDOM-PROJECT,,❗️,动画,Fun,Unstarted,大友克洋,Yes,,,
人生Best Ten,,❗️,动画,Fun,Unstarted,,Yes,,,
欢迎加入NHK,,❗️,动画,Fun,Unstarted,比较疯的剧,Yes,,,
Turn A Gundam 机动战士高达∀,,❗️,动画,Fun,Unstarted,,Yes,,,https://www.bilibili.com/video/BV12s411o7Lr/
浪客剑心,,❗️,动画,Fun,Unstarted,,Yes,,,
人间失格 剧场版,,❗️,电影,Serious,Unstarted,,Yes,,,
原始星球,,❗️,电影,Serious,Unstarted,,Yes,,,
平衡,,❗️,电影,Serious,Unstarted,,Yes,,,
故事中的故事,,❗️,电影,Serious,Unstarted,讲述了战争、孤独的小狼和冬天吃着苹果的婴儿的故事,Yes,,,
玛丽和马克思,,❗️,电影,Serious,Unstarted,,Yes,,,
没有宇宙我们无法生存,,❗️,电影,Mild,Unstarted,,Yes,,,
国王与小鸟,,❗️,电影,Mild,Unstarted,根据安徒生的童话《牧羊女与扫烟囱的人》改编,Yes,,,
疯狂约会美丽都,,❗️,电影,Mild,Unstarted,,Yes,,,
天才嘉年华2 Genius Party Beyond,,❗️,电影,Fun,Unstarted,明星制作人短片,Yes,,,https://www.bilibili.com/video/BV11W411T739/
最终幻想15 王者之剑,,❗️,电影,Fun,Unstarted,,Yes,,,
花与爱丽丝杀人事件,,❗️,电影,Fun,Unstarted,,Yes,,,
大坏狐狸的故事,,❗️,电影,Fun,Unstarted,,Yes,,,
鹬,,❗️,电影,Fun,Unstarted,,Yes,,,
凯尔经的秘密,,❗️,电影,Fun,Unstarted,,Yes,,,
蝙蝠侠 黑暗骑士归来（动画电影）,,❗️,电影,Fun,Unstarted,,Yes,,,
Elf,,❗️,电影,Fun,Unstarted,Will Ferrell 圣诞喜剧,Yes,,,
生存游戏,自己,❗️,漫画,Fun,Completed,,Yes,"July 5, 2024",3 及格,大逃杀类经典鼻祖，刺激程度不错。但角色有塑造但没成长，结尾部分太多tell没有show，并且最终感觉烂尾了
THE KILLER,和他人,❗️❗️❗️,电影,Serious,Completed,,Yes,"July 3, 2024",3.5 挺新的,从“杀手日常”的角度切入有全新体验。视听不错。节奏好。故事线比较平常，最后the client和epilogue缺反转或者升华。应该有办法更好的表达“日常性”
BLAME!端末遗构都市,自己,❗️❗️,动画,Mild,Completed,,Yes,"July 3, 2024",3.5 挺新的,画面加分。目的就是让人更想了解blame世界观，本身电影没啥
The Usual Suspects,和他人,❗️❗️❗️,电影,Mild,Completed,,Yes,"July 1, 2024",3.5 挺新的,反转还是可以的，剩下的老电影了一般
The Guilty,和他人,❗️❗️❗️,电影,Serious,Completed,911电话,Yes,"June 30, 2024",3 及格,烂番茄评价中肯：keep you engaged but nothing more
机动警察 和平保卫战,自己,❗️❗️❗️,动画电影,Mild,Completed,https://www.google.com.hk/search?newwindow=1&sca_esv=582ec9845e97149d&q=%E6%8A%BC%E4%BA%95%E5%AE%88&si=AKbGX_oBDfquzodaRrfbb9img4kPQ4fCBZjeqAiaW1svvC8uXpmZ8s8wJjrhpTIFOCyoyaqsz2jlYZ2eMY-nnwU6P7jrkHQ2yeccPM17Tu0lJ9EkfSulU5AifcDS_plqU6g42S3f4vLxK7Xo2e1ofjmEY2q2P8Z2IRWvUS2Xfk7mgxRolbcQgynwPSymsliUkKCXlcRku_wS&sa=X&ved=2ahUKEwiMwrD4zcaFAxVR6ckDHRSaBaAQmxMoAHoECBwQAg,Yes,"June 28, 2024",4 佳作,更纪实的机甲，机械感细节作画一流，台词和立意有深度，剧情比较温润中规中矩
